direction,word,doc_freq_total,neg_docs_with_word,pos_docs_with_word,neg_rate_pct,pos_rate_pct,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value_fdr_bh,significant_5pct
negative-leaning,shit,202,202,0,3.06,0.0,1580.129,10.626,768.976,1.7912069281996643e-165,True
negative-leaning,refund,290,249,41,3.77,0.16,23.591,4.56,746.658,6.3770724120651585e-161,True
negative-leaning,boring,662,400,262,6.06,1.05,6.078,2.604,638.366,1.5061221119188598e-137,True
negative-leaning,slop,332,250,82,3.78,0.33,11.897,3.573,600.23,2.225857419330459e-129,True
negative-leaning,money,1369,634,735,9.6,2.94,3.503,1.809,558.328,2.317528124932526e-120,True
negative-leaning,why,1090,500,590,7.57,2.36,3.386,1.76,425.361,1.652194264140281e-91,True
negative-leaning,waste,308,209,99,3.16,0.4,8.191,3.034,414.532,3.222142715612855e-89,True
negative-leaning,unplayable,209,162,47,2.45,0.19,13.24,3.727,407.592,9.13910376746147e-88,True
negative-leaning,until,876,419,457,6.34,1.83,3.635,1.862,394.856,4.8096696614778187e-85,True
negative-leaning,terrible,289,196,93,2.97,0.37,8.161,3.029,388.111,1.2730534308094574e-83,True
negative-leaning,anything,1040,470,570,7.11,2.28,3.282,1.714,383.434,1.2069873169906801e-82,True
negative-leaning,because,2602,929,1673,14.06,6.7,2.281,1.19,375.243,6.717419257019795e-81,True
negative-leaning,state,508,274,234,4.15,0.94,4.576,2.194,340.549,2.223886277861274e-73,True
negative-leaning,worse,240,164,76,2.48,0.3,8.315,3.056,328.883,7.1707968136630834e-71,True
negative-leaning,poor,222,154,68,2.33,0.27,8.711,3.123,317.472,2.0471062668606437e-68,True
negative-leaning,buy,1323,525,798,7.95,3.19,2.618,1.388,294.257,2.1901660321548705e-63,True
negative-leaning,fix,537,270,267,4.09,1.07,3.945,1.98,284.935,2.2153694907210832e-61,True
negative-leaning,garbage,189,133,56,2.01,0.22,9.1,3.186,281.266,1.3188115587556783e-60,True
negative-leaning,point,1175,474,701,7.18,2.81,2.679,1.422,278.616,4.723027622726388e-60,True
negative-leaning,half,421,225,196,3.41,0.78,4.458,2.156,273.102,7.136113193237776e-59,True
negative-leaning,literally,435,228,207,3.45,0.83,4.278,2.097,264.712,4.58038806321537e-57,True
negative-leaning,awful,146,110,36,1.67,0.14,11.628,3.539,262.793,1.1452424445840666e-56,True
negative-leaning,bad,1642,603,1039,9.13,4.16,2.316,1.212,261.912,1.7051751756429968e-56,True
negative-leaning,disappointing,137,105,32,1.59,0.13,12.46,3.639,258.438,9.343065129059018e-56,True
negative-leaning,cannot,583,277,306,4.19,1.22,3.53,1.82,254.187,7.575175960075441e-55,True
negative-leaning,fucking,67,67,0,1.01,0.0,515.836,9.011,253.964,8.146377022472187e-55,True
negative-leaning,poorly,187,127,60,1.92,0.24,8.108,3.019,251.323,2.953467247205375e-54,True
negative-leaning,fuck,65,65,0,0.98,0.0,500.399,8.967,246.367,3.308824504298444e-53,True
negative-leaning,reason,568,266,302,4.03,1.21,3.43,1.778,235.001,9.623208811484357e-51,True
negative-leaning,tutorial,356,191,165,2.89,0.66,4.477,2.163,233.405,2.075125894893077e-50,True
negative-leaning,sucks,189,123,66,1.86,0.26,7.139,2.836,224.308,1.9374891354317707e-48,True
negative-leaning,crashes,238,143,95,2.16,0.38,5.787,2.533,222.532,4.5831939164378014e-48,True
negative-leaning,problem,491,234,257,3.54,1.03,3.534,1.821,215.775,1.3251959512409745e-46,True
negative-leaning,issue,558,256,302,3.88,1.21,3.296,1.721,214.134,2.9352450176748375e-46,True
negative-leaning,stupid,215,131,84,1.98,0.34,5.985,2.581,209.652,2.711296216338543e-45,True
negative-leaning,again,1240,462,778,6.99,3.11,2.341,1.227,208.588,4.502551683757915e-45,True
negative-leaning,generative,103,81,22,1.23,0.09,13.858,3.793,208.259,5.1713079196592974e-45,True
negative-leaning,current,489,230,259,3.48,1.04,3.445,1.784,204.988,2.606901774100153e-44,True
negative-leaning,completely,589,263,326,3.98,1.3,3.138,1.65,204.579,3.120499465593917e-44,True
negative-leaning,broken,283,156,127,2.36,0.51,4.731,2.242,202.13,1.0422226906379416e-43,True
positive-leaning,fun,6340,867,5473,13.12,21.9,0.539,-0.892,251.031,3.2977573941901104e-54,True
positive-leaning,love,3093,345,2748,5.22,11.0,0.446,-1.163,197.311,1.0935074091413809e-42,True
positive-leaning,great,3719,454,3265,6.87,13.07,0.491,-1.025,193.017,9.05058105587589e-42,True
positive-leaning,best,1825,179,1646,2.71,6.59,0.396,-1.337,144.343,2.3472149335022557e-31,True
positive-leaning,nice,1877,196,1681,2.97,6.73,0.425,-1.235,132.215,9.315355788372192e-29,True
positive-leaning,horror,1130,84,1046,1.27,4.19,0.296,-1.754,128.692,5.135775893269198e-28,True
positive-leaning,atmosphere,981,64,917,0.97,3.67,0.259,-1.951,126.696,1.3458667991491419e-27,True
positive-leaning,amazing,1072,79,993,1.2,3.97,0.294,-1.765,123.019,8.158852222797662e-27,True
positive-leaning,unique,934,64,870,0.97,3.48,0.273,-1.872,115.006,4.105397518581362e-25,True
positive-leaning,highly,755,43,712,0.65,2.85,0.226,-2.147,108.265,1.1407701792374837e-23,True
positive-leaning,good,6226,1017,5209,15.4,20.85,0.691,-0.533,98.138,1.5838483972409066e-21,True
positive-leaning,definitely,1238,120,1118,1.82,4.47,0.396,-1.335,98.025,1.6655308375146896e-21,True
positive-leaning,familiar,435,11,424,0.17,1.7,0.101,-3.309,90.111,8.045527814136527e-20,True
positive-leaning,endings,522,26,496,0.39,1.99,0.199,-2.332,81.434,5.661173842824516e-18,True
positive-leaning,overall,1756,219,1537,3.32,6.15,0.524,-0.932,80.054,1.103028655321355e-17,True
positive-leaning,solid,783,64,719,0.97,2.88,0.333,-1.588,78.751,2.0911026551344013e-17,True
positive-leaning,moments,621,43,578,0.65,2.31,0.28,-1.838,74.919,1.3610210160058613e-16,True
positive-leaning,surprisingly,334,6,328,0.09,1.31,0.074,-3.758,74.57,1.609340675368281e-16,True
positive-leaning,genre,824,73,751,1.11,3.01,0.363,-1.463,74.292,1.8439084378998247e-16,True
positive-leaning,addictive,357,9,348,0.14,1.39,0.102,-3.296,73.83,2.2674348833678704e-16,True
positive-leaning,tension,420,18,402,0.27,1.61,0.172,-2.544,71.131,8.485116059895609e-16,True
positive-leaning,simple,1292,150,1142,2.27,4.57,0.487,-1.039,70.448,1.1845393734753291e-15,True
positive-leaning,excellent,410,18,392,0.27,1.57,0.176,-2.507,68.545,2.9951225815034545e-15,True
positive-leaning,delivers,286,4,282,0.06,1.13,0.06,-4.068,66.437,8.420475003223262e-15,True
positive-leaning,published,384,16,368,0.24,1.47,0.167,-2.58,65.893,1.1008842986104749e-14,True
positive-leaning,rating,604,46,558,0.7,2.23,0.31,-1.69,65.803,1.1477025426512221e-14,True
positive-leaning,visually,426,22,404,0.33,1.62,0.208,-2.268,64.735,1.9657993792520765e-14,True
positive-leaning,storytelling,375,16,359,0.24,1.44,0.172,-2.544,63.564,3.4559384667998646e-14,True
positive-leaning,traditional,257,2,255,0.03,1.02,0.037,-4.77,63.498,3.5468329547976425e-14,True
positive-leaning,satisfying,639,53,586,0.8,2.35,0.34,-1.558,62.764,5.073207318688661e-14,True
positive-leaning,memorable,299,8,291,0.12,1.16,0.109,-3.196,60.687,1.3905553142143882e-13,True
positive-leaning,succeeds,252,3,249,0.05,1.0,0.053,-4.25,59.729,2.2012922374436252e-13,True
positive-leaning,approach,388,20,368,0.3,1.47,0.208,-2.266,58.961,3.2192438057625605e-13,True
positive-leaning,offers,588,48,540,0.73,2.16,0.334,-1.58,58.863,3.3728545512830923e-13,True
positive-leaning,driven,378,19,359,0.29,1.44,0.203,-2.302,58.362,4.294651561823467e-13,True
positive-leaning,developed,478,33,445,0.5,1.78,0.281,-1.833,57.571,6.294967091210712e-13,True
positive-leaning,perfect,721,69,652,1.04,2.61,0.396,-1.335,57.371,6.901979411722156e-13,True
positive-leaning,different,1870,262,1608,3.97,6.44,0.601,-0.734,57.206,7.480998244950316e-13,True
positive-leaning,presentation,339,15,324,0.23,1.3,0.179,-2.484,56.31,1.1396483612791345e-12,True
positive-leaning,remains,311,12,299,0.18,1.2,0.156,-2.678,55.22,1.9664210086206604e-12,True
